# t(year)                N(mol)
0.000000000000000000e+00 4.587450000000000139e-01
9.662659065774236922e+01 5.135644436823457726e-01
2.198206263083104943e+02 5.038055121617527332e-01
3.279276894894243810e+02 4.974896484014910136e-01
4.329968095629584468e+02 4.620169309266947688e-01
5.186764665257823026e+02 4.111488062504160546e-01
5.990569600235885446e+02 4.322787693045530566e-01
6.421211465091710124e+02 4.661618815161949758e-01
8.338321231145798720e+02 4.183226007053235662e-01
8.339301244669896960e+02 4.223394140416341647e-01
9.016002435101993342e+02 4.176359764993673451e-01
1.124457866788935462e+03 3.667878497561543050e-01
1.213940661584097370e+03 4.540010190971583426e-01
1.330751654393942545e+03 4.262187763103755245e-01
1.368385535823689452e+03 4.388902470001804779e-01
1.476477762459253881e+03 3.794295216605816368e-01
1.472349996172794590e+03 4.301091991221803190e-01
1.755763413789208698e+03 4.015435344485325242e-01
1.635696994323295939e+03 4.342911577257500544e-01
2.008419047003491869e+03 3.791624694162827325e-01
2.085771496124472378e+03 3.341557988483772612e-01
1.999470626357084711e+03 3.458166787001143438e-01
2.168543358763910419e+03 3.948587635570987020e-01
2.323555837983744368e+03 3.936920995719349059e-01
2.542986576568745477e+03 3.436964231369693534e-01
2.519047740689315106e+03 3.415916165282381067e-01
2.217610160994076523e+03 3.521725164871398750e-01
2.659146804798336234e+03 3.534046043951525884e-01
2.688270847903952927e+03 3.633135340612008712e-01
2.862497783985390924e+03 3.325407788771566064e-01
3.083855966674897445e+03 3.233384533882078249e-01
3.225275122853749508e+03 3.074640922900445661e-01
3.053017549415858412e+03 3.223816021707952562e-01
3.373373194379129473e+03 3.057960247352508598e-01
3.385424463989808828e+03 3.482970817255718887e-01
3.517384351781177429e+03 3.058479671379166209e-01
3.698389320670457892e+03 2.917359490396492228e-01
3.473468208528670402e+03 3.097438529652317141e-01
4.069518470435890777e+03 2.915013523152020225e-01
3.709913924873274482e+03 2.769322533372429174e-01
4.014167683398702593e+03 2.798094368136327392e-01
4.023905667254183754e+03 2.938575961741299314e-01
4.507746786746859470e+03 2.967464871500207768e-01
4.724578910233334682e+03 2.694360583748388049e-01
4.504463556337573209e+03 2.996560288625553237e-01
4.612908067374451093e+03 2.648911807277885555e-01
4.652119339303752895e+03 2.735539704372557668e-01
4.916343080224826736e+03 2.943296293923554074e-01
4.011255296251117215e+03 3.063407236278446466e-01
5.244433442836817449e+03 2.455171915870908161e-01
5.373721121102228608e+03 2.437153071933293724e-01
5.162494925997844803e+03 2.636950502096412352e-01
5.296805820922705607e+03 2.496359065500515506e-01
5.172297961523243430e+03 2.445017824092607650e-01
5.591734293233309472e+03 2.326176492348004665e-01
5.667925148903119407e+03 2.477970673474308438e-01
5.484147184771601133e+03 2.470786966799125572e-01
6.306492864335761624e+03 2.217554606691274355e-01
5.445048769274641018e+03 2.769287826237604722e-01
6.207886656264008707e+03 2.041647287013778900e-01
5.962490553847288538e+03 2.393182367885489104e-01
5.745318226113150558e+03 2.536584183840692175e-01
6.363617435355644375e+03 2.228255637724363136e-01
5.681768683479089304e+03 2.335295756149534663e-01
6.295993536960566416e+03 2.089711813535342355e-01
6.275454310085212455e+03 2.301358779296562851e-01
6.207548158428287934e+03 2.305433166727468841e-01
7.043612976311790590e+03 2.033870019712413213e-01
6.841144459541515062e+03 2.112524228608561316e-01
6.870766139946869771e+03 2.175997085420867116e-01
7.388707419081547414e+03 1.895489749751686770e-01
7.027676568340930316e+03 2.000600025472102084e-01
7.435936446986462215e+03 1.951754458036111528e-01
7.013478249180840066e+03 1.941049401505114125e-01
7.579668109891073982e+03 1.895838643007249913e-01
7.680568282640964753e+03 2.021773122320675020e-01
7.796621422886437358e+03 1.883963210808996813e-01
7.936327880704845484e+03 1.832647088676204739e-01
7.876268575073499051e+03 1.795039625376486925e-01
7.303760659461840078e+03 2.069535544091299084e-01
7.917820232793881587e+03 1.972448387344218346e-01
7.704777357012684661e+03 1.789329406841843606e-01
8.545319392521121699e+03 1.683608949570964963e-01
8.464802093886315561e+03 1.850425252287033751e-01
7.771035611269419860e+03 1.808883133799125409e-01
9.144973562313891307e+03 1.625108382166141618e-01
8.553758896430455934e+03 1.869059272652744685e-01
9.103639429122162255e+03 1.593650948035994497e-01
9.719987166321318000e+03 1.498112867584690810e-01
8.882165159583106288e+03 1.587628431402762497e-01
8.345874239607364871e+03 1.750987147714909709e-01
9.814791163187284837e+03 1.531843612928099063e-01
9.540750766124734582e+03 1.751144339621202861e-01
9.789210266714935642e+03 1.472717550774055029e-01
8.520796290145852254e+03 1.817086497646069332e-01
9.006876173560252937e+03 1.647895150163433131e-01
9.060418281381382258e+03 1.654935826369821061e-01
9.627905185588022505e+03 1.652586109906360734e-01
9.110496679506783039e+03 1.594478145257049173e-01
9.580362555377632816e+03 1.493286097396004375e-01
1.068955187186345393e+04 1.401817687319984462e-01
1.080293093059205603e+04 1.409774827721680668e-01
1.037786144619970946e+04 1.287189157354023394e-01
1.028600688210855515e+04 1.421363537167694147e-01
1.035342192949798118e+04 1.302779842463026028e-01
1.042964670212049532e+04 1.380156421146595258e-01
9.861931581988443213e+03 1.489466859821911293e-01
1.110727812907451516e+04 1.270863620730014465e-01
1.048537115842474304e+04 1.370637978469781137e-01
1.126430933510259274e+04 1.205250278003695691e-01
1.159938897051366985e+04 1.174321597260039179e-01
1.072636616136164412e+04 1.353156288508293725e-01
1.149665822265291354e+04 1.296939628238894804e-01
1.185008699402869934e+04 1.187932821635454411e-01
1.117591976243194767e+04 1.271656077445319222e-01
1.170669265652179092e+04 1.191530149582002013e-01
1.148370646880057211e+04 1.173294859853810240e-01
1.117415194010932646e+04 1.205175427773801239e-01
1.230185859033967608e+04 1.098347940375796333e-01
1.154677441407601327e+04 1.288748292367325743e-01
1.165624086677663945e+04 1.228392564128506087e-01
1.286614498081164311e+04 9.473667458025039623e-02
1.169927183687481192e+04 1.177397074287398065e-01
1.202104206483650887e+04 1.216206487955103777e-01
1.175624462303901237e+04 1.297995139712310730e-01
1.322080715561595753e+04 1.075475173966697756e-01
1.295596581992786378e+04 9.454208599960262083e-02
1.246000056334390501e+04 1.096086785992099882e-01
1.367114955704010754e+04 8.681305129254102138e-02
1.306250251558866876e+04 1.040353042888167434e-01
1.247861247484125306e+04 1.039072762410552936e-01
1.280057515623039035e+04 1.024313369583827737e-01
1.200216927655968902e+04 1.004277621697405032e-01
1.359562364290325604e+04 9.155848245319428425e-02
1.373324439307103057e+04 9.181777991110871839e-02
1.351794103907412136e+04 9.816110676989071859e-02
1.284571529694808851e+04 1.019316345934192236e-01
1.372587429990617238e+04 8.606796722206437600e-02
1.321226285357858796e+04 9.898526546628474976e-02
1.359411997091161356e+04 9.246825950424540641e-02
1.351593484960293608e+04 8.797149459947886663e-02
1.293929027006653632e+04 1.056309499952177433e-01
1.424522647258228062e+04 8.912127687941011345e-02
1.350109417820608178e+04 8.837417488074796046e-02
1.501536839689332373e+04 7.504359480203996735e-02
1.510786713324568518e+04 8.377366864449284356e-02
1.391923720114086609e+04 9.471926757000259656e-02
1.514588313047021074e+04 7.622116998188686876e-02
1.392118558284219398e+04 9.207555297606796751e-02
1.447574263973845518e+04 8.835548281825622574e-02
1.437264792505421974e+04 9.130830117000485191e-02
1.531613844648282611e+04 7.650379777168753170e-02
1.444564559575049680e+04 9.198719915968107952e-02
1.538115104705455087e+04 7.665584599309861746e-02
1.551376163717855707e+04 6.251690262765240147e-02
1.437663613513633391e+04 8.289295955214331935e-02
1.585246239776090806e+04 7.231675104965352985e-02
1.624599375412431255e+04 6.933437222731932137e-02
1.568117120286099998e+04 6.677744068826481361e-02
1.577792405103058081e+04 6.913990341251774474e-02
1.607811148393149779e+04 6.345691126825037109e-02
1.675612308951198065e+04 6.679483216802184486e-02
1.538391512724641143e+04 6.935138283002367787e-02
1.612428253872920868e+04 6.814789128161236054e-02
1.654052610231669678e+04 6.887248824771227684e-02
1.732458758336861138e+04 5.992258701408511440e-02
1.618263465644873577e+04 6.626838947214069853e-02
1.544052635777396608e+04 7.535677108605513819e-02
1.600093044801735414e+04 7.317227374524173933e-02
1.598658644991137407e+04 6.872157257929907559e-02
1.776814905192554579e+04 5.608904342556599726e-02
1.750960819440201885e+04 5.630786829017866979e-02
1.581049949277338783e+04 7.250563642934057529e-02
1.824274463144164474e+04 5.260282209347639376e-02
1.857702080727092471e+04 5.328798424374479870e-02
1.752032505125657190e+04 6.026461212443157828e-02
1.724434288585973991e+04 5.754702843425672787e-02
1.768188408914161482e+04 5.687313362874676925e-02
1.836243653968978833e+04 5.349221089913772098e-02
1.700430051715340232e+04 6.481825969810019183e-02
1.803786936926207272e+04 5.100039635219830170e-02
1.831877093382199382e+04 4.872805712302285402e-02
1.851679934226071055e+04 4.893015027800770578e-02
1.736209193384272294e+04 6.012393935268754014e-02
1.790881349244456942e+04 5.520371395299652345e-02
1.928784800971940422e+04 4.879703861539246706e-02
1.642985839431954810e+04 6.478824589431206316e-02
1.927692196747042181e+04 4.522410016234268415e-02
1.786321325117367087e+04 5.738308933353729324e-02
1.998348226192575385e+04 4.208608353884188413e-02
1.888990983754288027e+04 4.802990370158474048e-02
1.997956522397853041e+04 4.402973873023899309e-02
1.982371328596574676e+04 4.047892743754930717e-02
1.898143883248988277e+04 5.029403810938076758e-02
1.955917707134850571e+04 4.409957315890101343e-02
2.074432791514792916e+04 3.915267941141185176e-02
2.128155595617746440e+04 3.636591227010621541e-02
1.855748743051548081e+04 5.363186608469377309e-02
2.022966204597740216e+04 4.376802819735411271e-02
1.973020573802142098e+04 4.369101268096668711e-02
2.129223197165615784e+04 3.739665735619648185e-02
1.977697436625786941e+04 4.291533716264377130e-02
1.855472082234690606e+04 4.768044426969612198e-02
2.087481446361485359e+04 3.843257364083672856e-02
2.094310435115476866e+04 3.829663319085860329e-02
2.133426831535125530e+04 3.626513169910314249e-02
1.819559681542606995e+04 5.058733714977842189e-02
1.904242024173347454e+04 4.740672390608309528e-02
1.999216938882877366e+04 4.159140566853575943e-02
1.950978732609074723e+04 5.006818809638879236e-02
2.126919833689361258e+04 3.710520422997425072e-02
2.206811478524223639e+04 3.414921238208189908e-02
2.181367828146627289e+04 3.337889200867581729e-02
2.038499858880721877e+04 4.034174715167612030e-02
2.258457955707455403e+04 3.265773936493203411e-02
2.164395874510744397e+04 3.275739325818723124e-02
2.025172141030057537e+04 4.259972857513428385e-02
2.151591340863490768e+04 3.526574112395942928e-02
2.283979785945297044e+04 3.249941310456381377e-02
2.033530318269059353e+04 4.337592197272956834e-02
2.394304365850775503e+04 2.567637532153159083e-02
2.195515346842108920e+04 3.339020321632096833e-02
2.150186865703313015e+04 3.594877963755092887e-02
2.275383579463998831e+04 3.197704756405807258e-02
1.952584236288508328e+04 4.873627541540036245e-02
2.094098552610478509e+04 3.759082763496215951e-02
2.274138002162282646e+04 3.390604136639151223e-02
2.308739374164717083e+04 2.980250196491608314e-02
